2.487822e+39	1:3,2:19,3:11,4:22,6:8
2.121878e+38	1:6,2:22,3:9,4:17,6:9
6.346626e+38	1:3,2:18,3:9,4:25,6:8
8.994315e+38	1:6,2:20,3:11,4:18,6:8
1.227043e+38	1:5,2:16,3:15,4:18,6:9
7.332376e+37	1:2,2:24,3:5,4:24,6:8
5.084334e+37	1:1,2:15,3:15,4:23,6:9
1.997814e+39	1:3,2:21,3:13,4:18,6:8
5.845047e+37	1:8,2:22,3:9,4:16,6:8
1.080237e+39	1:6,2:19,3:11,4:19,6:8
1.512861e+39	1:2,2:18,3:13,4:22,6:8
1.240150e+38	2:19,3:17,4:19,6:8
2.293520e+39	1:2,2:21,3:13,4:19,6:8
2.626761e+39	1:2,2:20,3:12,4:21,6:8
2.599929e+37	1:1,2:19,3:8,4:25,6:10
8.944006e+38	1:4,2:19,3:9,4:22,6:9
2.601191e+39	1:4,2:19,3:12,4:20,6:8
3.158544e+38	1:6,2:20,3:11,4:17,6:9
4.173308e+38	1:1,2:19,3:11,4:23,6:9
1.796057e+37	1:2,2:29,3:9,4:15,6:8
5.385226e+37	1:4,2:27,3:8,4:16,6:8
1.587069e+38	1:4,2:17,3:13,4:19,6:10
