Sub-branch INTERRUPTED (thread 61, pair1 2 orient1 0 pair2 12 orient2 1): 3300330688 nodes, 0 C3-valid, 0 solutions, 316s elapsed
Sub-branch INTERRUPTED (thread 23, pair1 1 orient1 1 pair2 20 orient2 0): 3300330719 nodes, 0 C3-valid, 0 solutions, 317s elapsed
Sub-branch INTERRUPTED (thread 18, pair1 1 orient1 1 pair2 17 orient2 1): 3300330726 nodes, 0 C3-valid, 0 solutions, 317s elapsed
Sub-branch INTERRUPTED (thread 19, pair1 1 orient1 1 pair2 18 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 318s elapsed
Sub-branch INTERRUPTED (thread 52, pair1 2 orient1 0 pair2 6 orient2 1): 3300330715 nodes, 6469384 C3-valid, 0 solutions, 318s elapsed
Sub-branch INTERRUPTED (thread 29, pair1 1 orient1 1 pair2 23 orient2 1): 3300330751 nodes, 4650880 C3-valid, 0 solutions, 319s elapsed
Sub-branch INTERRUPTED (thread 36, pair1 1 orient1 1 pair2 27 orient2 0): 3300330729 nodes, 0 C3-valid, 0 solutions, 320s elapsed
Sub-branch INTERRUPTED (thread 2, pair1 1 orient1 1 pair2 9 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 320s elapsed
Sub-branch INTERRUPTED (thread 42, pair1 1 orient1 1 pair2 30 orient2 1): 3300330721 nodes, 252712 C3-valid, 0 solutions, 320s elapsed
Sub-branch INTERRUPTED (thread 51, pair1 2 orient1 0 pair2 6 orient2 0): 3300330722 nodes, 5650916 C3-valid, 0 solutions, 321s elapsed
Sub-branch INTERRUPTED (thread 47, pair1 2 orient1 0 pair2 3 orient2 1): 3300330724 nodes, 1235348 C3-valid, 0 solutions, 321s elapsed
Sub-branch INTERRUPTED (thread 20, pair1 1 orient1 1 pair2 18 orient2 1): 3300330721 nodes, 0 C3-valid, 0 solutions, 322s elapsed
Sub-branch INTERRUPTED (thread 21, pair1 1 orient1 1 pair2 19 orient2 0): 3300330743 nodes, 0 C3-valid, 0 solutions, 323s elapsed
Sub-branch INTERRUPTED (thread 38, pair1 1 orient1 1 pair2 28 orient2 1): 3300330725 nodes, 0 C3-valid, 0 solutions, 324s elapsed
Sub-branch INTERRUPTED (thread 22, pair1 1 orient1 1 pair2 19 orient2 1): 3300330743 nodes, 0 C3-valid, 0 solutions, 324s elapsed
Sub-branch INTERRUPTED (thread 32, pair1 1 orient1 1 pair2 25 orient2 0): 3300330736 nodes, 0 C3-valid, 0 solutions, 325s elapsed
