Time limit: 14400 seconds
Node limit: 10000000000000 (reproducible mode)
Build: Apr 12 2026 03:29:49
King Wen complement distance (x64): 776 (= 12.1250)
Difference distribution: 1:2 2:20 3:13 4:19 6:9 
Super-pairs: 20
Hash table: 4194304 slots (2^22) x 32 bytes = 128 MB per thread
Per-branch node limit: 178571428571 (10000000000000 total / 56 branches)
Total hash memory: 7168 MB (56 threads x 128 MB)
Branches: 56 remaining (56 total), Threads: 56
Time limit: 14400 seconds (4.0 hours)
CPU cores detected: 64

Starting enumeration...

  1238.1B nodes, 72738.8M sol, 2340972578 C3 (22758360 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 980s
  1250.6B nodes, 73420.3M sol, 2362031177 C3 (22862254 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 990s
  1263.1B nodes, 74179.3M sol, 2386224539 C3 (22901335 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1000s
  1275.7B nodes, 74928.1M sol, 2411038252 C3 (22974853 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1010s
  1288.4B nodes, 75713.5M sol, 2431621148 C3 (23013793 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1020s
  1301.0B nodes, 76418.8M sol, 2451240401 C3 (23042275 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1030s
  1313.6B nodes, 77112.5M sol, 2470188474 C3 (23067746 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1040s
  1326.2B nodes, 77806.4M sol, 2488895027 C3 (23086089 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1050s
  1338.7B nodes, 78434.2M sol, 2506092089 C3 (23105039 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1060s
  1351.2B nodes, 79103.5M sol, 2525476994 C3 (23123145 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1070s
  1363.8B nodes, 79758.9M sol, 2543059933 C3 (23139665 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1080s
  1376.3B nodes, 80417.5M sol, 2560939811 C3 (23186376 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1090s
  1388.9B nodes, 81087.4M sol, 2576238671 C3 (23239975 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1100s
  1401.5B nodes, 81762.5M sol, 2591188648 C3 (23277288 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1110s
  1414.1B nodes, 82422.9M sol, 2605226133 C3 (23299611 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1120s
  1426.7B nodes, 83085.0M sol, 2621882643 C3 (23341464 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1130s
  1439.3B nodes, 83711.8M sol, 2640003331 C3 (23422692 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1140s
  1451.9B nodes, 84335.3M sol, 2659147567 C3 (23460767 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1150s
  1464.5B nodes, 85010.8M sol, 2675678233 C3 (23531938 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1160s
  1477.0B nodes, 85612.6M sol, 2695688929 C3 (23571628 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1170s
  1489.5B nodes, 86206.5M sol, 2721061724 C3 (23623986 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1180s
  1502.0B nodes, 86786.7M sol, 2744929405 C3 (23670781 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1190s
  1514.6B nodes, 87356.3M sol, 2764423352 C3 (23701324 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1200s
  1527.3B nodes, 87962.2M sol, 2781687242 C3 (23703241 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1210s
  1540.0B nodes, 88567.0M sol, 2800180254 C3 (23716646 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1220s
  1552.7B nodes, 89183.5M sol, 2818666712 C3 (23731614 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1230s
  1565.3B nodes, 89760.1M sol, 2838114888 C3 (23737441 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1240s
  1578.0B nodes, 90317.9M sol, 2853092547 C3 (23741781 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1250s
  1590.6B nodes, 90867.9M sol, 2868948725 C3 (23757573 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1260s
  1603.4B nodes, 91515.0M sol, 2887426658 C3 (23780831 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1270s
  1616.2B nodes, 92161.5M sol, 2906443600 C3 (23802208 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1280s
  1628.7B nodes, 92745.6M sol, 2927916941 C3 (23818107 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1290s
  1641.2B nodes, 93298.3M sol, 2947436765 C3 (23830394 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1300s
  1653.8B nodes, 93836.7M sol, 2967237150 C3 (23842495 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1310s
  1666.4B nodes, 94398.8M sol, 2986658047 C3 (23864138 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1320s
  1679.1B nodes, 94954.4M sol, 3004862367 C3 (23872171 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1330s
  1691.7B nodes, 95490.0M sol, 3025441834 C3 (23953019 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1340s
  1704.4B nodes, 96060.5M sol, 3043584129 C3 (24040893 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1350s
  1717.0B nodes, 96662.0M sol, 3063420429 C3 (24081930 stored), 0/56 branches (0%), 0/56 threads, 1262M/s, 1360s
  1729.7B nodes, 97315.4M sol, 3082297721 C3 (24105657 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1370s
  1742.5B nodes, 97904.3M sol, 3099472606 C3 (24154366 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1380s
  1755.3B nodes, 98479.4M sol, 3117795801 C3 (24224784 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1390s
  1768.0B nodes, 99078.4M sol, 3134888235 C3 (24312996 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1400s
  1780.6B nodes, 99612.3M sol, 3154099264 C3 (24383271 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1410s
  1793.3B nodes, 100171.2M sol, 3171306657 C3 (24497711 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1420s
  1806.2B nodes, 100795.9M sol, 3181685594 C3 (24535513 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1430s
  1819.2B nodes, 101424.8M sol, 3191830067 C3 (24542356 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 1440s
  1832.3B nodes, 102073.7M sol, 3201157014 C3 (24553710 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 1450s
  1845.2B nodes, 102657.6M sol, 3208949840 C3 (24562735 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 1460s
  1858.1B nodes, 103216.2M sol, 3217929565 C3 (24565182 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 1470s
  1871.0B nodes, 103855.9M sol, 3230144005 C3 (24566109 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 1480s
  1883.9B nodes, 104455.5M sol, 3240817970 C3 (24586717 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 1490s
  1896.8B nodes, 105069.2M sol, 3254873467 C3 (24689735 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1500s
  1909.6B nodes, 105656.5M sol, 3269622230 C3 (24777621 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1510s
  1922.4B nodes, 106247.3M sol, 3282560600 C3 (24797543 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1520s
  1935.4B nodes, 106794.6M sol, 3294016353 C3 (24808299 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1530s
  1948.3B nodes, 107361.0M sol, 3307922648 C3 (24826326 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1540s
  1961.1B nodes, 107914.9M sol, 3322386484 C3 (24830069 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1550s
  1973.8B nodes, 108490.6M sol, 3339597144 C3 (24832247 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1560s
  1986.5B nodes, 109049.0M sol, 3355282071 C3 (24833719 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1570s
  1999.3B nodes, 109657.4M sol, 3372476688 C3 (24855580 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1580s
  2012.1B nodes, 110264.8M sol, 3389259325 C3 (24965297 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 1590s
  2024.9B nodes, 110863.3M sol, 3403206090 C3 (25061737 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1600s
  2037.7B nodes, 111446.2M sol, 3416011889 C3 (25076982 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1610s
  2050.5B nodes, 112003.1M sol, 3429888900 C3 (25082435 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1620s
  2063.4B nodes, 112582.2M sol, 3441672066 C3 (25089958 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1630s
  2076.2B nodes, 113183.7M sol, 3454143853 C3 (25101984 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1640s
  2089.2B nodes, 113796.4M sol, 3462168207 C3 (25103556 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1650s
  2102.3B nodes, 114420.2M sol, 3467065642 C3 (25103556 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 1660s
  2115.3B nodes, 114996.0M sol, 3472837308 C3 (25103905 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1670s
  2128.3B nodes, 115583.7M sol, 3481877684 C3 (25103954 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1680s
  2141.1B nodes, 116095.2M sol, 3490651656 C3 (25105069 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1690s
  2154.0B nodes, 116662.9M sol, 3500721439 C3 (25106033 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1700s
  2166.8B nodes, 117230.0M sol, 3510296769 C3 (25113787 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1710s
  2179.6B nodes, 117806.6M sol, 3519355022 C3 (25121644 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1720s
  2192.4B nodes, 118404.2M sol, 3526299895 C3 (25123990 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1730s
  2205.2B nodes, 119007.0M sol, 3536830189 C3 (25127721 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1740s
  2218.0B nodes, 119575.0M sol, 3544964347 C3 (25134152 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1750s
  2230.8B nodes, 120200.7M sol, 3555077053 C3 (25143589 stored), 0/56 branches (0%), 0/56 threads, 1267M/s, 1760s
  2243.7B nodes, 120796.8M sol, 3565268146 C3 (25153124 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1770s
  2256.6B nodes, 121419.0M sol, 3576792651 C3 (25181692 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1780s
  2269.3B nodes, 122020.9M sol, 3593674058 C3 (25250147 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1790s
  2282.1B nodes, 122650.8M sol, 3606865020 C3 (25289215 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1800s
  2295.0B nodes, 123219.2M sol, 3618323228 C3 (25294779 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1810s
  2307.7B nodes, 123756.9M sol, 3629703202 C3 (25320049 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1820s
  2320.3B nodes, 124303.3M sol, 3645219713 C3 (25373352 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1830s
  2332.9B nodes, 124882.2M sol, 3660640942 C3 (25395296 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1840s
  2345.6B nodes, 125477.2M sol, 3678937298 C3 (25457174 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1850s
  2358.3B nodes, 126002.0M sol, 3697796094 C3 (25518336 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1860s
  2371.1B nodes, 126558.0M sol, 3710498798 C3 (25525626 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1870s
  2383.9B nodes, 127181.3M sol, 3721771687 C3 (25562003 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1880s
  2396.8B nodes, 127844.6M sol, 3735432228 C3 (25584533 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1890s
  2409.8B nodes, 128488.2M sol, 3747519683 C3 (25591997 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1900s
  2422.5B nodes, 129106.3M sol, 3764217092 C3 (25642897 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1910s
  2435.4B nodes, 129707.9M sol, 3781635972 C3 (25705657 stored), 0/56 branches (0%), 0/56 threads, 1268M/s, 1920s
  2448.3B nodes, 130298.5M sol, 3793797159 C3 (25729671 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 1930s
  2461.3B nodes, 130912.4M sol, 3805564270 C3 (25744891 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 1940s
  2474.3B nodes, 131455.0M sol, 3815719100 C3 (25751593 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 1950s
  2487.3B nodes, 132038.6M sol, 3826100143 C3 (25757252 stored), 0/56 branches (0%), 0/56 threads, 1269M/s, 1960s
